Country,Year,Variable,Source,Value,Unit
INDONESIA,1996,MV AREA,Country Sources,9330.00,000 Ha
INDONESIA,1995,MV AREA,Country Sources,9191.00,000 Ha
INDONESIA,1994,MV AREA,Country Sources,8653.00,000 Ha
INDONESIA,1993,MV AREA,Country Sources,8977.00,000 Ha
INDONESIA,1992,MV AREA,Country Sources,8992.00,000 Ha
INDONESIA,1991,MV AREA,Country Sources,8404.00,000 Ha
MYANMAR,1993,MV AREA,Country Sources,3366.00,000 Ha
MYANMAR,1992,MV AREA,Country Sources,3084.00,000 Ha
MYANMAR,1991,MV AREA,Country Sources,2451.00,000 Ha
NEPAL,2000,MV AREA,Country Sources,1160.00,000 Ha
NEPAL,1999,MV AREA,Country Sources,1104.00,000 Ha
NEPAL,1996,MV AREA,Country Sources,925.00,000 Ha
NEPAL,1993,MV AREA,Country Sources,638.00,000 Ha
PHILIPPINES,2003,MV AREA,Country Sources,3761.00,000 Ha
PHILIPPINES,2002,MV AREA,Country Sources,3791.00,000 Ha
PHILIPPINES,2001,MV AREA,Country Sources,3889.00,000 Ha
PHILIPPINES,2000,MV AREA,Country Sources,3887.00,000 Ha
PHILIPPINES,1999,MV AREA,Country Sources,3694.00,000 Ha
PHILIPPINES,1998,MV AREA,Country Sources,2909.00,000 Ha
PHILIPPINES,1997,MV AREA,Country Sources,3403.00,000 Ha
PHILIPPINES,1996,MV AREA,Country Sources,3439.00,000 Ha
PHILIPPINES,1995,MV AREA,Country Sources,3412.00,000 Ha
PHILIPPINES,1994,MV AREA,Country Sources,3349.00,000 Ha
PHILIPPINES,1993,MV AREA,Country Sources,3028.00,000 Ha
PHILIPPINES,1992,MV AREA,Country Sources,2984.00,000 Ha
PHILIPPINES,1991,MV AREA,Country Sources,3103.00,000 Ha
SRI LANKA,2005,MV AREA,Country Sources,774.11,000 Ha
SRI LANKA,2004,MV AREA,Country Sources,964.30,000 Ha
SRI LANKA,2003,MV AREA,Country Sources,817.71,000 Ha
SRI LANKA,2002,MV AREA,Country Sources,765.99,000 Ha
SRI LANKA,2001,MV AREA,Country Sources,858.51,000 Ha
SRI LANKA,2000,MV AREA,Country Sources,866.85,000 Ha
SRI LANKA,1999,MV AREA,Country Sources,789.77,000 Ha
SRI LANKA,1998,MV AREA,Country Sources,669.57,000 Ha
SRI LANKA,1997,MV AREA,Country Sources,698.53,000 Ha
THAILAND,1997,MV AREA,Country Sources,1537.00,000 Ha
THAILAND,1996,MV AREA,Country Sources,1661.00,000 Ha
THAILAND,1995,MV AREA,Country Sources,1410.00,000 Ha
THAILAND,1994,MV AREA,Country Sources,1230.00,000 Ha
THAILAND,1993,MV AREA,Country Sources,1150.00,000 Ha
THAILAND,1992,MV AREA,Country Sources,1003.00,000 Ha
THAILAND,1991,MV AREA,Country Sources,1004.00,000 Ha
VIETNAM,2002,MV AREA,Country Sources,7031.00,000 Ha
VIETNAM,2001,MV AREA,Country Sources,6892.00,000 Ha
VIETNAM,2000,MV AREA,Country Sources,6865.00,000 Ha
VIETNAM,1999,MV AREA,Country Sources,6841.00,000 Ha
VIETNAM,1998,MV AREA,Country Sources,6421.00,000 Ha
VIETNAM,1997,MV AREA,Country Sources,6177.00,000 Ha
VIETNAM,1996,MV AREA,Country Sources,5800.00,000 Ha
VIETNAM,1995,MV AREA,Country Sources,5154.00,000 Ha
VIETNAM,1994,MV AREA,Country Sources,4722.00,000 Ha
VIETNAM,1993,MV AREA,Country Sources,4144.00,000 Ha
VIETNAM,1992,MV AREA,Country Sources,3810.00,000 Ha
VIETNAM,1991,MV AREA,Country Sources,3235.00,000 Ha
