,SEQ_NO,YEAR,ISO,COUNTRY_CDE,LAND_AREA,HARV_AREA,FERT,YIELD,AVG_TEMP_JAN,AVG_TEMP_FEB,AVG_TEMP_MAR,AVG_TEMP_APR,AVG_TEMP_MAY,AVG_TEMP_JUN,AVG_TEMP_JUL,AVG_TEMP_AUG,AVG_TEMP_SEP,AVG_TEMP_OCT,AVG_TEMP_NOV,AVG_TEMP_DEC,AVG_RF_JAN,AVG_RF_FEB,AVG_RF_MAR,AVG_RF_APR,AVG_RF_MAY,AVG_RF_JUN,AVG_RF_JUL,AVG_RF_AUG,AVG_RF_SEP,AVG_RF_OCT,AVG_RF_NOV,AVG_RF_DEC,AVG_Q1_TEMP,AVG_Q2_TEMP,AVG_Q3_TEMP,AVG_Q4_TEMP,AVG_Q4_RF,AVG_Q3_RF,AVG_Q2_RF,AVG_Q1_RF
20,20,2010,AFG,0,65286,208000,4.25,3.23,3.18115,2.94048,10.9348,16.0153,19.0795,23.3312,25.2624,24.1389,18.8161,15.7737,7.3301,2.46686,26.7077,64.6666,39.4925,27.0613,37.1512,13.1362,21.7761,17.4577,6.12541,5.24335,6.47983,4.12688,5.685476667,19.47533333,22.73913333,8.523553333,5.283353333,15.11973667,25.7829,43.62226667
21,21,2011,AFG,0,65286,210000,6.61,3.2,0.58207,2.48703,8.27917,14.8614,21.2962,25.1002,25.5349,25.0517,19.6493,14.4057,6.98109,0.50918,20.8792,97.3466,51.6369,40.0256,17.4269,5.04623,5.96836,11.3091,4.36918,15.9706,29.6794,6.80333,3.782756667,20.41926667,23.41196667,7.298656667,17.48444333,7.215546667,20.83291,56.6209
22,22,2012,AFG,0,65286,205000,28.07,2.44,-0.5329,-0.3738,7.07321,14.4267,18.8992,23.2849,26.2565,24.5623,19.2339,13.6072,7.01731,2.26085,45.338,67.2547,49.6125,70.6528,32.982,3.59206,6.62499,9.22998,7.45481,11.5375,24.4124,49.6373,2.055503333,18.87026667,23.3509,7.628453333,28.52906667,7.769926667,35.74228667,54.0684
23,23,2013,AFG,0,65286,205000,14.88,2.5,1.5778,3.08646,7.5901,13.4938,19.6124,24.9157,26.4471,24.4465,21.4541,14.9802,7.73942,2.85806,27.0004,58.6508,93.0974,57.7386,5.9039,11.1305,8.72686,14.5942,3.17636,24.9781,28.1207,13.8474,4.084786667,19.34063333,24.1159,8.525893333,22.3154,8.832473333,24.92433333,59.58286667
24,24,2014,AFG,0,65286,220000,12.12,2.44,1.90191,-0.2883,7.97563,13.8125,19.2834,24.8129,26.3007,25.1178,21.4651,14.3478,6.67635,2.36981,22.0419,45.2999,86.3087,50.7113,26.9611,4.5591,6.58225,7.48296,3.40702,14.6601,36.8466,6.74625,3.196413333,19.30293333,24.29453333,7.797986667,19.41765,5.824076667,27.4105,51.21683333
25,25,2015,AFG,0,65286,164000,12.13,2.5,1.95516,3.41743,6.99841,14.7501,19.4289,25.094,26.3264,24.1008,19.0854,14.842,7.47879,2.92567,39.1114,85.8241,84.8404,42.8442,28.9883,6.86077,11.224,17.4394,5.54208,21.715,34.7023,22.3063,4.123666667,19.75766667,23.17086667,8.415486667,26.2412,11.40182667,26.23109,69.9253
26,27,1991,AGO,1,124670,4000,2.34,1,22.508,23.1937,22.8672,22.3045,21.3911,19.2419,18.1375,20.1535,22.5024,23.0012,22.7147,22.5869,184.642,127.503,143.396,83.4912,15.6442,0.40699,0.63237,3.74634,24.9352,70.3843,179.789,183.416,22.8563,20.97916667,20.26446667,22.7676,144.5297667,9.771303333,33.18079667,151.847
27,28,1992,AGO,1,124670,4393,3.03,0.91,22.9484,23.8518,23.479,23.1125,21.3168,18.8505,18.1982,19.7267,22.5992,23.5125,22.7496,22.9413,159.183,128.672,88.2652,76.8235,19.2324,0.26917,0.26298,1.26027,13.8122,58.4598,133.843,133.313,23.4264,21.09326667,20.1747,23.0678,108.5386,5.111816667,32.10835667,125.3734
28,29,1993,AGO,1,124670,5000,2.67,0.8,22.7582,22.4077,22.6649,22.6477,21.7899,18.8401,18.6917,20.3306,21.7631,24.38,22.9811,23.1664,162.26,171.09,152.263,104.077,11.8593,0.13475,0.10895,1.12722,20.7101,60.3061,135.462,133.257,22.61026667,21.09256667,20.2618,23.50916667,109.6750333,7.315423333,38.69035,161.871
29,30,1994,AGO,1,124670,24000,3.33,0.88,22.7136,22.8746,23.7489,21.549,21.2417,18.2562,18.3631,20.2986,22.8903,23.3153,24.0146,23.112,157.371,130.385,109.589,73.1467,13.6443,0.14144,0.31993,1.80629,11.4906,86.8802,138.875,138.321,23.11236667,20.34896667,20.51733333,23.48063333,121.3587333,4.53894,28.97748,132.4483333
30,31,1995,AGO,1,124670,13000,2.67,1.46,23.96,22.9369,23.357,23.0953,21.8102,18.2939,18.6642,21.6173,22.8439,24.4662,24.1143,23.0243,96.6659,131.105,136.342,78.7643,15.984,0.13654,0.04776,3.2509,18.1425,83.9862,124.775,132.417,23.41796667,21.06646667,21.0418,23.86826667,113.7260667,7.147053333,31.62828,121.3709667
31,32,1996,AGO,1,124670,8000,2,1.75,22.8452,22.8938,21.8215,22.8266,21.2526,18.2246,18.1208,21.3521,23.2679,24.2609,23.9004,23.2688,174.718,129.692,135.48,86.6566,13.2301,0.38785,0.49471,2.34591,18.9094,60.189,131.503,133.333,22.52016667,20.76793333,20.9136,23.81003333,108.3416667,7.250006667,33.42485,146.63
32,33,1997,AGO,1,124670,6000,0.67,2,22.7122,22.7377,23.3086,22.6016,20.6024,19.9283,18.8861,21.0127,23.2057,23.6437,24.1762,24.2233,182.588,163.369,208.64,73.7311,15.3827,0.46143,0.22739,4.86423,23.8504,97.1519,110.918,173.387,22.9195,21.0441,21.03483333,24.0144,127.1523,9.64734,29.85841,184.8656667
33,34,1998,AGO,1,124670,5000,1.13,2,23.445,24.1398,23.7411,23.8828,22.1275,19.9853,19.8245,21.1497,23.0449,24.3695,24.0594,22.4358,161.609,95.0974,179.849,86.0836,12.3546,0.23635,0.1517,2.54304,27.6898,62.7199,135.536,183.421,23.7753,21.99853333,21.3397,23.62156667,127.2256333,10.12818,32.89151667,145.5184667
34,35,1999,AGO,1,124670,5200,1.13,1.42,22.5446,23.1171,22.9659,22.8353,21.366,19.4051,18.9669,20.3202,20.4067,23.0622,23.3394,23.4231,154.14,116.622,173.42,90.3252,17.7619,0.38303,0.86865,4.79482,20.9942,71.391,145.772,207.854,22.87586667,21.20213333,19.89793333,23.2749,141.6723333,8.88589,36.15671,148.0606667
35,36,2000,AGO,1,124670,4293,0.47,1.35,23.0058,23.0739,22.8661,21.7163,21.499,19.7778,18.7306,19.85,22.8667,24.3217,22.6806,22.711,159.352,143.891,185.317,99.812,23.8281,0.50795,0.05429,2.80607,20.144,58.5601,131.164,167.238,22.98193333,20.9977,20.48243333,23.23776667,118.9873667,7.66812,41.38268333,162.8533333
36,37,2001,AGO,1,124670,3894,4.425833333,1.37,23.1926,22.965,23.351,23.3183,22.2481,19.0635,18.2901,20.9968,23.1295,23.5963,23.0718,23.6173,160.743,162.299,163.541,112.062,15.803,0.63983,0.10961,1.30812,13.2124,61.3058,141.206,134.481,23.16953333,21.5433,20.80546667,23.42846667,112.3309333,4.87671,42.83494333,162.1943333
37,38,2002,AGO,1,124670,3705,1.66,1.32,23.2811,23.1233,23.1385,23.6033,21.7101,19.6282,19.7885,21.3883,22.5571,23.2767,24.1401,23.6108,167.282,150.252,148.605,118.727,17.3488,0.5558,0.40115,6.68067,29.9114,100.984,150.981,169.263,23.18096667,21.6472,21.24463333,23.67586667,140.4093333,12.33107333,45.54386667,155.3796667
38,39,2003,AGO,1,124670,7867,1.79,1.38,23.6392,23.5505,23.5254,22.8807,21.7694,20.1198,18.7647,21.425,22.9975,24.1884,23.6577,23.2467,139.545,139.627,143.616,99.2798,10.3977,0.79011,0.27182,2.30615,13.1384,85.0251,133.898,153.855,23.5717,21.58996667,21.0624,23.6976,124.2593667,5.23879,36.82253667,140.9293333
39,40,2004,AGO,1,124670,11222,4.5,1.16,23.0178,23.2913,23.6327,23.2181,20.8841,18.5209,18.5849,20.7747,22.78,23.7875,23.7627,24.0856,179.174,136.695,208.135,110.912,5.61422,0.21445,0.29896,4.25038,19.9824,70.7105,140.177,146.047,23.31393333,20.87436667,20.7132,23.8786,118.9781667,8.177246667,38.91355667,174.668
40,41,2005,AGO,1,124670,12397,2.26,0.7,24.0892,23.7503,24.4391,23.8887,21.9454,20.3355,19.3001,21.1356,22.3591,24.7819,24.0712,22.8325,138.075,119.175,153.461,101.536,10.2438,0.20788,0.56174,2.84445,16.5852,60.6344,138.509,162.219,24.09286667,22.05653333,20.9316,23.8952,120.4541333,6.663796667,37.32922667,136.9036667
41,42,2006,AGO,1,124670,7744,3.66,0.49,23.1952,22.9576,22.9031,22.8129,20.5583,19.8587,19.2158,20.5725,22.597,23.7964,22.8477,23.0586,167.874,168.933,185.512,96.4281,13.0367,0.20742,0.53239,6.09097,19.1337,85.4951,171.748,161.926,23.01863333,21.07663333,20.7951,23.23423333,139.7230333,8.585686667,36.55740667,174.1063333
42,43,2007,AGO,1,124670,9012,3.31,0.51,23.2783,23.1416,23.2917,23.2149,21.2169,18.8663,18.6941,20.4956,22.7772,23.4771,22.8295,22.6398,157.073,128.413,167.998,98.0055,15.3824,1.50597,0.14841,4.65026,17.7703,77.6738,143.813,157.046,23.2372,21.09936667,20.65563333,22.98213333,126.1776,7.52299,38.29795667,151.1613333
43,44,2008,AGO,1,124670,16551,8.26,0.51,22.8373,22.6847,22.5689,22.2924,21.164,18.6647,18.9104,20.7756,22.687,23.2823,23.1034,23.3339,160.289,146.658,181.128,98.9103,18.2539,0.3754,0.27696,3.04396,18.8751,78.43,135.302,168.317,22.69696667,20.70703333,20.791,23.23986667,127.3496667,7.398673333,39.17986667,162.6916667
44,45,2009,AGO,1,124670,23707,5.47,0.6,23.5804,23.1813,22.9103,22.5821,21.3087,19.198,18.575,22.1651,22.9008,24.0356,23.303,23.6905,159.539,166.03,177.481,118.1,22.0463,1.00792,0.4199,3.2444,15.7283,76.3342,124.279,161.4,23.224,21.0296,21.21363333,23.67636667,120.6710667,6.4642,47.05140667,167.6833333
45,46,2010,AGO,1,124670,23905,8.43,0.74,23.3422,24.1121,24.1076,23.0742,22.108,19.5809,19.4217,20.4263,22.9262,24.1252,23.3523,22.501,142.23,119.64,186.655,106.779,13.3553,0.64873,0.39059,2.17121,12.7825,49.3914,176.949,136.788,23.85396667,21.5877,20.92473333,23.32616667,121.0428,5.114766667,40.26101,149.5083333
46,47,2011,AGO,1,124670,26038,11.98,0.89,22.4693,22.4765,22.8234,22.2928,20.4964,19.0903,18.5846,20.3545,23.0127,23.4526,22.9837,22.807,150.222,135.253,173.927,106.52,10.0337,0.24786,0.19739,3.03138,20.7002,50.7132,162.072,194.753,22.58973333,20.6265,20.6506,23.0811,135.8460667,7.976323333,38.93385333,153.134
47,48,2012,AGO,1,124670,27902,8.88,0.77,22.3942,22.8307,23.3037,22.3846,20.6409,18.9516,18.5437,20.5986,22.7229,23.7184,23.2037,23.2506,178.265,173.243,172.343,105.115,17.2891,0.3848,0.45468,2.89051,21.1404,67.9341,147.71,143.65,22.84286667,20.65903333,20.62173333,23.3909,119.7647,8.161863333,40.92963333,174.617
48,49,2013,AGO,1,124670,29510,9.26,1.27,22.9733,23.0917,23.0003,22.6566,20.9793,19.5621,19.2215,19.9769,22.2303,23.6759,23.347,22.872,137.115,142.032,139.505,116.777,12.0314,0.67304,0.22596,4.16048,15.649,61.069,125.107,194.51,23.02176667,21.066,20.47623333,23.2983,126.8953333,6.67848,43.16048,139.5506667
49,50,2014,AGO,1,124670,30068,9.27,1.41,23.0185,23.3309,23.0337,22.4451,21.4983,19.115,18.7479,20.5985,21.9166,23.9049,23.2856,22.852,159.24,132.171,195.418,123.439,12.8138,0.41014,0.2497,2.57074,15.5713,65.2012,157.022,161.117,23.1277,21.01946667,20.421,23.3475,127.7800667,6.13058,45.55431333,162.2763333
50,51,2015,AGO,1,124670,30079,8.05,1.51,22.9108,23.1104,22.7575,22.4193,21.4101,18.4609,19.3374,20.9998,23.7641,24.1488,23.713,24.0931,122.725,120.345,179.187,65.6593,19.2391,0.3719,0.45675,2.31226,19.974,46.2413,110.198,214.341,22.92623333,20.76343333,21.3671,23.98496667,123.5934333,7.581003333,28.42343333,140.7523333
51,53,1991,ARG,2,273669,86265,6.27,4.03,20.6078,20.0149,18.9456,14.8802,11.959,8.1756,7.28993,8.97668,12.493,13.8637,17.3465,18.6552,82.5252,50.5915,55.3491,57.0309,45.3005,48.1031,27.0885,20.0884,34.2881,46.8695,52.0474,109.805,19.8561,11.6716,9.586536667,16.6218,69.57396667,27.155,50.14483333,62.82193333
52,54,1992,ARG,2,273669,140700,9.27,5.21,21.0054,19.6117,18.6981,13.9453,10.2134,8.60625,5.24201,9.5294,11.6078,14.7128,16.5091,19.5419,70.0067,77.5439,85.4502,62.1551,48.2664,41.1095,17.5127,31.7252,35.6026,51.3372,70.259,96.0991,19.77173333,10.92165,8.79307,16.92126667,72.5651,28.28016667,50.51033333,77.66693333
53,55,1993,ARG,2,273669,139650,10.93,4.36,20.9474,19.9835,19.1928,14.486,10.302,8.10868,6.80646,9.91542,11.3827,15.1105,17.282,20.0113,79.7169,38.1349,60.8573,58.9755,48.8285,40.2766,15.7893,15.638,20.8278,65.473,74.334,60.3162,20.04123333,10.96556,9.368193333,17.46793333,66.70773333,17.41836667,49.3602,59.5697
54,56,1994,ARG,2,273669,141340,17.11,4.3,21.223,19.4316,18.1475,14.186,12.4266,9.84575,7.60763,9.82,13.0016,14.76,18.078,21.6559,65.8038,68.6568,58.9549,46.1225,50.8153,31.522,30.0507,19.5697,22.1178,59.9459,53.3092,65.1751,19.6007,12.15278333,10.14307667,18.16463333,59.47673333,23.91273333,42.81993333,64.47183333
55,57,1995,ARG,2,273669,184115,19.36,5.03,20.3774,19.156,17.7828,14.2485,11.0299,7.90884,6.73381,8.37725,12.2217,14.8096,18.5903,22.0006,70.172,59.8508,69.2147,42.6061,29.2268,23.2315,15.7943,14.5235,16.6492,42.4734,50.1557,35.9011,19.1054,11.06241333,9.11092,18.46683333,42.8434,15.65566667,31.68813333,66.4125
56,58,1996,ARG,2,273669,193215,31.43,5.1,20.4299,19.3486,18.5759,13.9507,11.8187,6.47406,6.83712,10.6906,11.8586,15.5204,18.403,19.7288,73.6539,76.1712,59.4405,67.5964,27.033,15.3683,10.5611,22.8892,25.8943,53.9624,60.6406,95.1284,19.45146667,10.74782,9.79544,17.88406667,69.91046667,19.78153333,36.6659,69.7552
57,59,1997,ARG,2,273669,224408,29.63,5.37,21.6139,19.1154,18.2583,15.5438,11.7114,8.36209,9.15932,10.0269,12.2806,14.6439,17.524,19.6368,78.0697,69.946,61.0071,33.4862,33.821,45.9896,27.4835,24.747,30.7138,62.4819,63.9429,95.792,19.66253333,11.87243,10.48894,17.26823333,74.07226667,27.6481,37.7656,69.67426667
58,60,1998,ARG,2,273669,211705,28.28,4.78,20.4658,18.7836,17.0186,13.9053,11.5361,8.97167,9.60283,9.4739,10.7708,16.0628,17.8949,20.2283,77.8903,82.3089,64.6353,79.5252,36.6815,23.1886,20.9065,21.1344,28.6111,44.1627,53.6958,54.7824,18.756,11.47102333,9.949176667,18.062,50.8803,23.55066667,46.4651,74.94483333
59,61,1999,ARG,2,273669,289200,29.91,5.73,20.3991,20.6482,17.7615,12.9279,10.4764,7.27673,6.72502,9.61648,12.9408,15.2472,17.3542,19.8052,70.0203,59.6731,101.252,56.2894,33.1611,34.4102,26.0188,20.6785,31.3939,55.3148,45.8907,60.1609,19.60293333,10.22701,9.760766667,17.46886667,53.7888,26.0304,41.2869,76.9818
60,62,2000,ARG,2,273669,189050,31.22,4.78,21.2042,19.473,17.0282,14.5946,10.1832,8.16384,5.6623,8.93691,10.8196,14.9053,16.3921,19.6262,69.5799,89.5367,76.2297,65.4788,60.7249,41.7727,24.4773,20.5037,30.912,80.4636,67.6174,57.0624,19.23513333,10.98054667,8.472936667,16.97453333,68.38113333,25.29766667,55.99213333,78.44876667
61,63,2001,ARG,2,273669,151870,31.07,5.75,21.0206,21.3507,18.1422,13.8114,9.83762,8.40546,7.093,10.5503,11.4514,15.3719,17.1233,20.32,93.5104,62.6162,93.6292,60.4332,38.4079,35.1365,26.5535,37.4744,46.8495,74.385,61.5054,45.5543,20.17116667,10.68482667,9.698233333,17.60506667,60.48156667,36.95913333,44.6592,83.25193333
62,64,2002,ARG,2,273669,124010,30.23,5.72,20.7501,19.8967,17.7539,13.6359,11.0363,6.15263,7.5003,9.87068,11.9883,15.7359,17.6563,19.5876,68.191,56.0926,104.24,65.1428,57.3545,19.4669,28.9948,38.9223,35.2077,77.2567,76.8448,90.8878,19.4669,10.27494333,9.786426667,17.65993333,81.6631,34.37493333,47.3214,76.17453333
63,65,2003,ARG,2,273669,132890,41.85,5.4,21.3582,20.1778,18.4886,13.6467,11.1157,9.72457,7.61546,8.56684,12.4827,16.13,18.3205,19.022,58.9837,63.7544,78.8002,53.7586,33.0357,29.017,21.4783,22.7197,22.5453,48.3139,52.9793,75.9228,20.0082,11.49565667,9.555,17.82416667,59.072,22.24776667,38.60376667,67.17943333
64,66,2004,ARG,2,273669,169178,45.31,6.27,22.1256,20.0876,19.0896,14.8005,8.59883,9.09254,7.78724,9.35525,12.8092,15.1882,17.2509,20.2446,50.6369,49.2492,51.2682,75.0975,24.8061,28.9608,31.2015,17.0111,21.8911,49.4869,70.8219,73.6174,20.43426667,10.83062333,9.983896667,17.56123333,64.64206667,23.3679,42.9548,50.38476667
65,67,2005,ARG,2,273669,158938,36.4,6.02,21.122,20.9743,17.6785,13.0949,10.3881,8.66023,7.86727,9.10082,10.9591,14.3379,18.4758,19.63,61.0114,50.4368,79.3808,46.5165,38.9496,42.3304,17.5137,32.4311,23.0043,36.9119,51.855,55.8842,19.92493333,10.71441,9.309063333,17.48123333,48.21703333,24.31636667,42.59883333,63.60966667
66,68,2006,ARG,2,273669,169025,41.41,7.06,21.409,20.471,17.5969,14.716,9.77709,9.11357,9.40398,9.17325,12.219,16.1313,17.7557,20.5985,76.0461,56.4505,58.8053,49.4808,12.2503,35.0425,27.1381,15.7975,18.253,69.9848,53.5624,86.5242,19.82563333,11.20222,10.26541,18.16183333,70.0238,20.3962,32.25786667,63.7673
67,69,2007,ARG,2,273669,164635,49.26,6.56,20.9028,20.0159,17.7366,14.8429,8.40856,7.13577,5.71202,6.73735,12.6641,15.7942,17.1401,20.1885,78.3501,79.8785,103.044,42.1097,25.3871,14.8893,14.8273,13.2909,44.202,52.7489,33.0127,52.5498,19.55176667,10.12907667,8.371156667,17.7076,46.1038,24.10673333,27.46203333,87.09086667
68,70,2008,ARG,2,273669,182460,35.21,6.83,21.2855,20.7881,18.2233,13.9226,10.2631,7.11222,9.4723,9.08591,11.7314,15.4399,19.602,20.8827,87.4258,72.8856,57.5107,29.4151,32.9387,20.8559,21.8683,25.6189,21.604,43.5421,47.974,48.0666,20.09896667,10.43264,10.09653667,18.64153333,46.52756667,23.0304,27.73656667,72.60736667
69,71,2009,ARG,2,273669,193800,22.98,6.88,21.3004,20.7359,19.4013,16.1339,11.6076,7.7411,6.75967,10.9064,10.9019,15.3763,17.9097,19.3766,42.8191,61.5354,48.0253,22.4305,36.7682,15.033,23.6185,20.684,33.3153,29.4294,76.4059,91.4053,20.4792,11.82753333,9.522656667,17.5542,65.74686667,25.8726,24.7439,50.79326667
