Country,Location,Year,Variable,Source,Value,Unit
BANGLADESH,Barisal,1984,YIELD - PADDY,Country Sources,1.84,t/Ha
BANGLADESH,Barisal,1983,YIELD - PADDY,Country Sources,1.88,t/Ha
BANGLADESH,Barisal,1982,YIELD - PADDY,Country Sources,1.86,t/Ha
BANGLADESH,Barisal,1981,YIELD - PADDY,Country Sources,1.77,t/Ha
BANGLADESH,Barisal,1980,YIELD - PADDY,Country Sources,1.92,t/Ha
BANGLADESH,Barisal,1979,YIELD - PADDY,Country Sources,1.70,t/Ha
BANGLADESH,Barisal,1978,YIELD - PADDY,Country Sources,1.83,t/Ha
BANGLADESH,Barisal,1977,YIELD - PADDY,Country Sources,1.85,t/Ha
BANGLADESH,Barisal,1976,YIELD - PADDY,Country Sources,1.80,t/Ha
BANGLADESH,Barisal,1975,YIELD - PADDY,Country Sources,1.79,t/Ha
BANGLADESH,Barisal,1974,YIELD - PADDY,Country Sources,1.39,t/Ha
BANGLADESH,Barisal,1973,YIELD - PADDY,Country Sources,1.61,t/Ha
BANGLADESH,Barisal,1972,YIELD - PADDY,Country Sources,1.68,t/Ha
BANGLADESH,Barisal,1971,YIELD - PADDY,Country Sources,1.46,t/Ha
BANGLADESH,Barisal,1970,YIELD - PADDY,Country Sources,1.35,t/Ha
BANGLADESH,Barisal,1969,YIELD - PADDY,Country Sources,1.80,t/Ha
BANGLADESH,Barisal,1968,YIELD - PADDY,Country Sources,1.50,t/Ha
BANGLADESH,Barisal,1967,YIELD - PADDY,Country Sources,1.55,t/Ha
BANGLADESH,Barisal,1966,YIELD - PADDY,Country Sources,1.42,t/Ha
BANGLADESH,Barisal,1965,YIELD - PADDY,Country Sources,1.79,t/Ha
BANGLADESH,Barisal,1964,YIELD - PADDY,Country Sources,1.63,t/Ha
BANGLADESH,Barisal,1963,YIELD - PADDY,Country Sources,2.10,t/Ha
BANGLADESH,Barisal,1962,YIELD - PADDY,Country Sources,1.68,t/Ha
BANGLADESH,Barisal,1961,YIELD - PADDY,Country Sources,1.90,t/Ha
BANGLADESH,Barisal,1960,YIELD - PADDY,Country Sources,1.74,t/Ha
BANGLADESH,Barisal,1959,YIELD - PADDY,Country Sources,1.65,t/Ha
BANGLADESH,Barisal,1958,YIELD - PADDY,Country Sources,1.44,t/Ha
BANGLADESH,Barisal,1957,YIELD - PADDY,Country Sources,1.48,t/Ha
BANGLADESH,Barisal,1956,YIELD - PADDY,Country Sources,1.70,t/Ha
BANGLADESH,Barisal,1955,YIELD - PADDY,Country Sources,1.38,t/Ha
BANGLADESH,Barisal,1954,YIELD - PADDY,Country Sources,1.33,t/Ha
BANGLADESH,Barisal,1953,YIELD - PADDY,Country Sources,1.37,t/Ha
BANGLADESH,Barisal,1952,YIELD - PADDY,Country Sources,1.28,t/Ha
BANGLADESH,Barisal,1951,YIELD - PADDY,Country Sources,1.27,t/Ha
BANGLADESH,Barisal,1950,YIELD - PADDY,Country Sources,1.37,t/Ha
BANGLADESH,Barisal,1949,YIELD - PADDY,Country Sources,1.80,t/Ha
BANGLADESH,Barisal,1948,YIELD - PADDY,Country Sources,1.72,t/Ha
BANGLADESH,Barisal,1947,YIELD - PADDY,Country Sources,1.42,t/Ha
BANGLADESH,Barisal,2015,YIELD - PADDY,Country Sources (BBS),2.24,t/Ha
BANGLADESH,Barisal,2014,YIELD - PADDY,Country Sources (BBS),2.15,t/Ha
BANGLADESH,Barisal,2013,YIELD - PADDY,Country Sources (BBS),2.17,t/Ha
BANGLADESH,Barisal,2012,YIELD - PADDY,Country Sources (BBS),2.17,t/Ha
BANGLADESH,Barisal,2011,YIELD - PADDY,Country Sources (BBS),2.27,t/Ha
BANGLADESH,Barisal,2010,YIELD - PADDY,Country Sources (BBS),2.23,t/Ha
BANGLADESH,Barisal,2009,YIELD - PADDY,Country Sources (BBS),2.05,t/Ha
BANGLADESH,Barisal,2008,YIELD - PADDY,Country Sources (BBS),2.08,t/Ha
BANGLADESH,Barisal,2007,YIELD - PADDY,Country Sources (BBS),1.78,t/Ha
BANGLADESH,Bogra,2006,PRODUCTION - PADDY,Country Sources,2242500.00,ton
BANGLADESH,Bogra,2005,PRODUCTION - PADDY,Country Sources,2031960.00,ton
BANGLADESH,Bogra,2004,PRODUCTION - PADDY,Country Sources,2078187.00,ton
BANGLADESH,Bogra,2003,PRODUCTION - PADDY,Country Sources,2061960.00,ton
BANGLADESH,Bogra,2002,PRODUCTION - PADDY,Country Sources,1895595.00,ton
BANGLADESH,Bogra,2001,PRODUCTION - PADDY,Country Sources,1787370.00,ton
BANGLADESH,Bogra,2000,PRODUCTION - PADDY,Country Sources,1792980.00,ton
BANGLADESH,Bogra,1999,PRODUCTION - PADDY,Country Sources,1745760.00,ton
BANGLADESH,Bogra,1998,PRODUCTION - PADDY,Country Sources,1469235.00,ton
BANGLADESH,Bogra,1997,PRODUCTION - PADDY,Country Sources,1534755.00,ton
BANGLADESH,Bogra,1996,PRODUCTION - PADDY,Country Sources,1501215.00,ton
BANGLADESH,Bogra,1995,PRODUCTION - PADDY,Country Sources,1361475.00,ton
BANGLADESH,Bogra,1994,PRODUCTION - PADDY,Country Sources,1486140.00,ton
BANGLADESH,Bogra,1993,PRODUCTION - PADDY,Country Sources,1525500.00,ton
BANGLADESH,Bogra,1992,PRODUCTION - PADDY,Country Sources,1569715.14,ton
BANGLADESH,Bogra,1991,PRODUCTION - PADDY,Country Sources,1509745.00,ton
BANGLADESH,Bogra,1990,PRODUCTION - PADDY,Country Sources,1475262.00,ton
BANGLADESH,Bogra,1989,PRODUCTION - PADDY,Country Sources,2127436.00,ton
BANGLADESH,Bogra,1988,PRODUCTION - PADDY,Country Sources,1178411.00,ton
BANGLADESH,Bogra,1987,PRODUCTION - PADDY,Country Sources,1151424.00,ton
BANGLADESH,Bogra,1986,PRODUCTION - PADDY,Country Sources,1125937.00,ton
BANGLADESH,Bogra,1985,PRODUCTION - PADDY,Country Sources,1200990.00,ton
BANGLADESH,Bogra,1984,PRODUCTION - PADDY,Country Sources,1104828.00,ton
BANGLADESH,Bogra,1983,PRODUCTION - PADDY,Country Sources,1051450.00,ton
BANGLADESH,Bogra,1982,PRODUCTION - PADDY,Country Sources,915105.00,ton
BANGLADESH,Bogra,1981,PRODUCTION - PADDY,Country Sources,881504.00,ton
BANGLADESH,Bogra,1980,PRODUCTION - PADDY,Country Sources,904021.00,ton
BANGLADESH,Bogra,1979,PRODUCTION - PADDY,Country Sources,795081.00,ton
BANGLADESH,Bogra,1978,PRODUCTION - PADDY,Country Sources,802289.00,ton
BANGLADESH,Bogra,1977,PRODUCTION - PADDY,Country Sources,736916.00,ton
BANGLADESH,Bogra,1976,PRODUCTION - PADDY,Country Sources,664276.00,ton
BANGLADESH,Bogra,1975,PRODUCTION - PADDY,Country Sources,652508.00,ton
BANGLADESH,Bogra,1974,PRODUCTION - PADDY,Country Sources,732399.00,ton
BANGLADESH,Bogra,1973,PRODUCTION - PADDY,Country Sources,678961.00,ton
BANGLADESH,Bogra,1972,PRODUCTION - PADDY,Country Sources,583319.00,ton
BANGLADESH,Bogra,1971,PRODUCTION - PADDY,Country Sources,572564.00,ton
BANGLADESH,Bogra,1970,PRODUCTION - PADDY,Country Sources,708963.00,ton
BANGLADESH,Bogra,1969,PRODUCTION - PADDY,Country Sources,607540.00,ton
BANGLADESH,Bogra,1968,PRODUCTION - PADDY,Country Sources,656690.00,ton
BANGLADESH,Bogra,1967,PRODUCTION - PADDY,Country Sources,576624.00,ton
BANGLADESH,Bogra,1966,PRODUCTION - PADDY,Country Sources,598453.00,ton
BANGLADESH,Bogra,1965,PRODUCTION - PADDY,Country Sources,696753.00,ton
BANGLADESH,Bogra,1964,PRODUCTION - PADDY,Country Sources,608279.00,ton
BANGLADESH,Bogra,1963,PRODUCTION - PADDY,Country Sources,662684.00,ton
BANGLADESH,Bogra,1962,PRODUCTION - PADDY,Country Sources,356382.00,ton
BANGLADESH,Bogra,1961,PRODUCTION - PADDY,Country Sources,473502.00,ton
BANGLADESH,Bogra,1960,PRODUCTION - PADDY,Country Sources,466792.00,ton
BANGLADESH,Bogra,1959,PRODUCTION - PADDY,Country Sources,417871.00,ton
BANGLADESH,Bogra,1958,PRODUCTION - PADDY,Country Sources,410817.00,ton
BANGLADESH,Bogra,1957,PRODUCTION - PADDY,Country Sources,308046.00,ton
BANGLADESH,Bogra,1956,PRODUCTION - PADDY,Country Sources,450249.00,ton
BANGLADESH,Bogra,1955,PRODUCTION - PADDY,Country Sources,334240.00,ton
BANGLADESH,Bogra,1954,PRODUCTION - PADDY,Country Sources,351034.00,ton
BANGLADESH,Bogra,1953,PRODUCTION - PADDY,Country Sources,450966.00,ton
BANGLADESH,Bogra,1952,PRODUCTION - PADDY,Country Sources,409301.00,ton
BANGLADESH,Bogra,1951,PRODUCTION - PADDY,Country Sources,407214.00,ton
BANGLADESH,Bogra,1950,PRODUCTION - PADDY,Country Sources,451559.00,ton
BANGLADESH,Bogra,1949,PRODUCTION - PADDY,Country Sources,371340.00,ton
BANGLADESH,Bogra,1948,PRODUCTION - PADDY,Country Sources,514960.00,ton
BANGLADESH,Bogra,1947,PRODUCTION - PADDY,Country Sources,458825.00,ton
BANGLADESH,Bogra,2015,PRODUCTION - PADDY,Country Sources (BBS),1727122.00,ton
BANGLADESH,Bogra,2014,PRODUCTION - PADDY,Country Sources (BBS),1692178.00,ton
BANGLADESH,Bogra,2013,PRODUCTION - PADDY,Country Sources (BBS),1781190.00,ton
BANGLADESH,Bogra,2012,PRODUCTION - PADDY,Country Sources (BBS),1720338.00,ton
BANGLADESH,Bogra,2011,PRODUCTION - PADDY,Country Sources (BBS),1643974.00,ton
BANGLADESH,Bogra,2010,PRODUCTION - PADDY,Country Sources (BBS),1595129.00,ton
BANGLADESH,Bogra,2009,PRODUCTION - PADDY,Country Sources (BBS),1591840.00,ton
BANGLADESH,Bogra,2008,PRODUCTION - PADDY,Country Sources (BBS),1667302.00,ton
BANGLADESH,Bogra,2007,PRODUCTION - PADDY,Country Sources (BBS),1622800.00,ton
BANGLADESH,Bogra,2006,YIELD - PADDY,Country Sources,4.46,t/Ha
BANGLADESH,Bogra,2005,YIELD - PADDY,Country Sources,4.11,t/Ha
BANGLADESH,Bogra,2004,YIELD - PADDY,Country Sources,4.10,t/Ha
BANGLADESH,Bogra,2003,YIELD - PADDY,Country Sources,4.09,t/Ha
BANGLADESH,Bogra,2002,YIELD - PADDY,Country Sources,3.92,t/Ha
BANGLADESH,Bogra,2001,YIELD - PADDY,Country Sources,3.77,t/Ha
BANGLADESH,Bogra,2000,YIELD - PADDY,Country Sources,3.77,t/Ha
BANGLADESH,Bogra,1999,YIELD - PADDY,Country Sources,3.66,t/Ha
BANGLADESH,Bogra,1998,YIELD - PADDY,Country Sources,3.33,t/Ha
BANGLADESH,Bogra,1997,YIELD - PADDY,Country Sources,3.37,t/Ha
BANGLADESH,Bogra,1996,YIELD - PADDY,Country Sources,3.33,t/Ha
BANGLADESH,Bogra,1995,YIELD - PADDY,Country Sources,3.24,t/Ha
BANGLADESH,Bogra,1994,YIELD - PADDY,Country Sources,3.54,t/Ha
BANGLADESH,Bogra,1993,YIELD - PADDY,Country Sources,3.59,t/Ha
BANGLADESH,Bogra,1992,YIELD - PADDY,Country Sources,3.64,t/Ha
BANGLADESH,Bogra,1991,YIELD - PADDY,Country Sources,3.48,t/Ha
BANGLADESH,Bogra,1990,YIELD - PADDY,Country Sources,3.32,t/Ha
BANGLADESH,Bogra,1989,YIELD - PADDY,Country Sources,5.10,t/Ha
BANGLADESH,Bogra,1988,YIELD - PADDY,Country Sources,3.16,t/Ha
BANGLADESH,Bogra,1987,YIELD - PADDY,Country Sources,3.01,t/Ha
BANGLADESH,Bogra,1986,YIELD - PADDY,Country Sources,2.66,t/Ha
BANGLADESH,Bogra,1985,YIELD - PADDY,Country Sources,2.84,t/Ha
BANGLADESH,Bogra,1984,YIELD - PADDY,Country Sources,2.71,t/Ha
BANGLADESH,Bogra,1983,YIELD - PADDY,Country Sources,2.48,t/Ha
BANGLADESH,Bogra,1982,YIELD - PADDY,Country Sources,2.28,t/Ha
BANGLADESH,Bogra,1981,YIELD - PADDY,Country Sources,2.26,t/Ha
BANGLADESH,Bogra,1980,YIELD - PADDY,Country Sources,2.40,t/Ha
BANGLADESH,Bogra,1979,YIELD - PADDY,Country Sources,2.09,t/Ha
BANGLADESH,Bogra,1978,YIELD - PADDY,Country Sources,2.12,t/Ha
BANGLADESH,Bogra,1977,YIELD - PADDY,Country Sources,1.95,t/Ha
BANGLADESH,Bogra,1976,YIELD - PADDY,Country Sources,1.85,t/Ha
BANGLADESH,Bogra,1975,YIELD - PADDY,Country Sources,1.77,t/Ha
BANGLADESH,Bogra,1974,YIELD - PADDY,Country Sources,1.94,t/Ha
BANGLADESH,Bogra,1973,YIELD - PADDY,Country Sources,1.95,t/Ha
BANGLADESH,Bogra,1972,YIELD - PADDY,Country Sources,1.59,t/Ha
BANGLADESH,Bogra,1971,YIELD - PADDY,Country Sources,1.71,t/Ha
BANGLADESH,Bogra,1970,YIELD - PADDY,Country Sources,1.92,t/Ha
BANGLADESH,Bogra,1969,YIELD - PADDY,Country Sources,1.60,t/Ha
BANGLADESH,Bogra,1968,YIELD - PADDY,Country Sources,1.88,t/Ha
BANGLADESH,Bogra,1967,YIELD - PADDY,Country Sources,1.67,t/Ha
BANGLADESH,Bogra,1966,YIELD - PADDY,Country Sources,1.64,t/Ha
BANGLADESH,Bogra,1965,YIELD - PADDY,Country Sources,2.04,t/Ha
BANGLADESH,Bogra,1964,YIELD - PADDY,Country Sources,1.84,t/Ha
BANGLADESH,Bogra,1963,YIELD - PADDY,Country Sources,2.23,t/Ha
BANGLADESH,Bogra,1962,YIELD - PADDY,Country Sources,1.32,t/Ha
BANGLADESH,Bogra,1961,YIELD - PADDY,Country Sources,1.75,t/Ha
BANGLADESH,Bogra,1960,YIELD - PADDY,Country Sources,1.68,t/Ha
BANGLADESH,Bogra,1959,YIELD - PADDY,Country Sources,1.47,t/Ha
BANGLADESH,Bogra,1958,YIELD - PADDY,Country Sources,1.57,t/Ha
BANGLADESH,Bogra,1957,YIELD - PADDY,Country Sources,1.20,t/Ha
BANGLADESH,Bogra,1956,YIELD - PADDY,Country Sources,1.51,t/Ha
BANGLADESH,Bogra,1955,YIELD - PADDY,Country Sources,1.17,t/Ha
BANGLADESH,Bogra,1954,YIELD - PADDY,Country Sources,1.18,t/Ha
BANGLADESH,Bogra,1953,YIELD - PADDY,Country Sources,1.37,t/Ha
BANGLADESH,Bogra,1952,YIELD - PADDY,Country Sources,1.32,t/Ha
