T26,Water supply and sanitation services,,,,,
13,Central America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",20.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
13,Central America,2015,"Safely managed drinking water sources, total (Proportion of population with access)",50.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
13,Central America,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",34.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
13,Central America,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",27.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",80.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",36.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2005,"Safely managed drinking water sources, total (Proportion of population with access)",72.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",16.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",13.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",80.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",38.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",73.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",20.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",17.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",81.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",40.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2015,"Safely managed drinking water sources, total (Proportion of population with access)",74.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",25.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
5,South America,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",21.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",85.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",51.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",65.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",24.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",25.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",25.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",85.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",61.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",72.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",31.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",30.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",30.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",85.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",61.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",72.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",38.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",34.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
142,Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",36.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
